Movie,Review,Rating,Date
Dune 2,Visually stunning but pacing was slow in the middle.,8,2025-05-12
Dune 2,"Loved the world-building, pacing felt uneven though.",7,2025-05-13
Dune 2,The final act made up for earlier slow parts.,8,2025-05-15
Top Gun Maverick,"Absolutely loved the aerial stunts, so thrilling.",9,2022-07-04
Top Gun Maverick,Tom Cruise did an incredible job with the stunts.,9,2022-07-05
Mission Impossible 7,Insane stunts but felt like the same old formula.,8,2023-08-15
Mission Impossible 7,"Great action sequences, story was predictable.",7,2023-08-16
Oppenheimer,"Dialogue heavy, intense but slow build up.",8,2023-07-20
Oppenheimer,"Masterful direction, but a bit long for some viewers.",9,2023-07-21
Barbie,"Colorful, witty, and surprisingly sharp.",8,2023-07-22
Barbie,"A fun watch with deeper themes than expected.",8,2023-07-23
Barbie,"Felt a bit scattered at times, but Margot Robbie was great.",7,2023-07-24
The Batman,"Dark, gritty, and visually striking. Pattinson nailed it.",9,2022-03-05
The Batman,"A bit too long, but loved the detective angle.",8,2022-03-06
The Batman,"Great soundtrack and mood, story was a slow burn.",8,2022-03-07
Avatar 2,"Gorgeous to look at, story was predictable.",7,2022-12-18
Avatar 2,"Loved returning to Pandora, felt a bit bloated.",7,2022-12-19
Avatar 2,"The water scenes were stunning, worth seeing in theaters.",8,2022-12-20
John Wick 4,"Nonstop action, Keanu is still the king.",9,2023-04-01
John Wick 4,"Incredible choreography, thin plot but who cares.",8,2023-04-02
John Wick 4,"A bit too long, but the action makes up for it.",8,2023-04-03
John Wick 4,"Loved the new characters, felt fresh.",9,2023-04-04
Spider-Man: Across the Spider-Verse,"Stunning animation, so creative.",9,2023-06-05
Spider-Man: Across the Spider-Verse,"A bit too much setup for the next movie, but still amazing.",8,2023-06-06
Spider-Man: Across the Spider-Verse,"Loved the multiverse concept, gorgeous visuals.",9,2023-06-07
Spider-Man: Across the Spider-Verse,"Miles' story keeps getting better.",9,2023-06-08
Killers of the Flower Moon,"Long but riveting, Scorsese delivers again.",9,2023-10-21
Killers of the Flower Moon,"Excellent performances, needed a tighter edit.",8,2023-10-22
Killers of the Flower Moon,"Haunting and beautifully shot.",9,2023-10-23
Killers of the Flower Moon,"A heavy story that sticks with you.",9,2023-10-24
Everything Everywhere All at Once,"Wild ride, so original and heartfelt.",9,2022-04-01
Everything Everywhere All at Once,"A bit chaotic at times but loved it.",8,2022-04-02
Everything Everywhere All at Once,"Michelle Yeoh was phenomenal, crazy multiverse fun.",9,2022-04-03
Everything Everywhere All at Once,"Not for everyone, but it worked for me.",8,2022-04-04
Elvis,"Austin Butler transformed into Elvis, amazing job.",8,2022-07-10
Elvis,"Visually striking, but felt long and messy.",7,2022-07-11
Elvis,"Loved the music, story felt rushed in parts.",7,2022-07-12
Elvis,"Baz Luhrmann's style isn't for everyone.",7,2022-07-13
The Fabelmans,"Spielberg at his most personal, really moving.",9,2022-11-23
The Fabelmans,"Beautiful filmmaking, slow at times.",8,2022-11-24
The Fabelmans,"Loved how it explored family and art.",9,2022-11-25
The Fabelmans,"Felt a bit self-indulgent, but still very good.",8,2022-11-26
Guardians of the Galaxy Vol. 3,"Fun and emotional, great sendoff.",8,2023-05-05
Guardians of the Galaxy Vol. 3,"Rocket’s story hit hard, loved it.",9,2023-05-06
Guardians of the Galaxy Vol. 3,"Still had that Marvel humor, maybe too much.",7,2023-05-07
